"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed"
"231","2011-01-10 21:00:00",1,0,1,1,5.74,6.82,59,12.998
"238","2011-01-11 06:00:00",1,0,1,2,6.56,9.09,55,8.9981
"249","2011-01-11 17:00:00",1,0,1,2,6.56,7.575,86,15.0013
"252","2011-01-11 20:00:00",1,0,1,3,6.56,7.575,93,12.998
"257","2011-01-12 01:00:00",1,0,1,2,6.56,9.09,86,7.0015
"259","2011-01-12 05:00:00",1,0,1,1,5.74,7.575,86,11.0014
"279","2011-01-13 01:00:00",1,0,1,1,5.74,6.06,50,19.0012
"290","2011-01-13 12:00:00",1,0,1,1,8.2,8.335,44,27.9993
"294","2011-01-13 16:00:00",1,0,1,1,9.84,10.605,38,23.9994
"296","2011-01-13 18:00:00",1,0,1,1,8.2,9.09,40,22.0028
"299","2011-01-13 21:00:00",1,0,1,1,5.74,6.06,46,19.9995
"300","2011-01-13 22:00:00",1,0,1,1,5.74,6.06,46,22.0028
"302","2011-01-14 00:00:00",1,0,1,1,4.92,6.82,50,12.998
"303","2011-01-14 01:00:00",1,0,1,1,4.1,6.06,54,11.0014
"311","2011-01-14 10:00:00",1,0,1,1,7.38,9.09,55,12.998
"312","2011-01-14 11:00:00",1,0,1,1,7.38,8.335,51,19.0012
"315","2011-01-14 14:00:00",1,0,1,1,9.02,10.605,41,19.0012
"317","2011-01-14 16:00:00",1,0,1,1,9.02,12.12,41,7.0015
"324","2011-01-14 23:00:00",1,0,1,2,7.38,12.12,55,0
"331","2011-01-15 06:00:00",1,0,0,1,5.74,8.335,63,7.0015
"336","2011-01-15 11:00:00",1,0,0,1,8.2,9.85,55,15.0013
"341","2011-01-15 16:00:00",1,0,0,2,13.94,16.665,34,12.998
"350","2011-01-16 01:00:00",1,0,0,1,10.66,13.635,56,8.9981
"359","2011-01-16 10:00:00",1,0,0,1,9.02,10.605,51,19.0012
"366","2011-01-16 17:00:00",1,0,0,1,9.02,10.605,37,16.9979
"367","2011-01-16 18:00:00",1,0,0,1,8.2,10.605,40,11.0014
"370","2011-01-16 21:00:00",1,0,0,1,7.38,9.85,51,11.0014
"379","2011-01-17 06:00:00",1,1,0,2,7.38,9.09,43,12.998
"381","2011-01-17 08:00:00",1,1,0,2,6.56,7.575,47,15.0013
"382","2011-01-17 09:00:00",1,1,0,2,6.56,7.575,47,15.0013
"388","2011-01-17 15:00:00",1,1,0,2,8.2,10.605,47,11.0014
"390","2011-01-17 17:00:00",1,1,0,1,8.2,9.85,51,12.998
"391","2011-01-17 18:00:00",1,1,0,2,7.38,8.335,55,16.9979
"401","2011-01-18 16:00:00",1,0,1,2,9.02,11.365,87,12.998
"403","2011-01-18 18:00:00",1,0,1,2,9.02,11.365,80,11.0014
"406","2011-01-18 21:00:00",1,0,1,2,9.02,12.12,93,7.0015
"410","2011-01-19 01:00:00",1,0,1,3,9.02,11.365,93,8.9981
"463","2011-02-02 08:00:00",1,0,1,3,9.02,10.605,93,15.0013
"466","2011-02-02 11:00:00",1,0,1,2,9.84,11.365,93,12.998
"467","2011-02-02 12:00:00",1,0,1,2,9.84,11.365,93,15.0013
"473","2011-02-02 18:00:00",1,0,1,1,13.94,14.395,42,36.9974
"475","2011-02-02 20:00:00",1,0,1,1,9.84,9.85,48,36.9974
"480","2011-02-03 01:00:00",1,0,1,1,8.2,7.575,44,35.0008
"484","2011-02-03 06:00:00",1,0,1,1,6.56,6.82,43,23.9994
"489","2011-02-03 11:00:00",1,0,1,1,7.38,6.82,43,30.0026
"500","2011-02-03 22:00:00",1,0,1,1,7.38,10.605,51,6.0032
"502","2011-02-04 00:00:00",1,0,1,2,8.2,12.88,44,0
"503","2011-02-04 01:00:00",1,0,1,2,6.56,11.365,59,0
"510","2011-02-04 09:00:00",1,0,1,2,6.56,9.09,80,8.9981
"512","2011-02-04 11:00:00",1,0,1,1,9.02,11.365,51,11.0014
"513","2011-02-04 12:00:00",1,0,1,2,9.84,12.12,48,11.0014
"517","2011-02-04 16:00:00",1,0,1,2,12.3,14.395,42,15.0013
"521","2011-02-04 20:00:00",1,0,1,2,9.84,12.12,65,11.0014
"526","2011-02-05 01:00:00",1,0,0,2,9.84,12.12,65,11.0014
"531","2011-02-05 06:00:00",1,0,0,3,8.2,12.88,100,0
"535","2011-02-05 10:00:00",1,0,0,3,8.2,10.605,100,8.9981
"542","2011-02-05 17:00:00",1,0,0,2,9.84,10.605,100,19.0012
"543","2011-02-05 18:00:00",1,0,0,2,11.48,12.12,93,30.0026
"547","2011-02-05 22:00:00",1,0,0,1,10.66,13.635,93,8.9981
"548","2011-02-05 23:00:00",1,0,0,1,10.66,12.88,93,15.0013
"555","2011-02-06 06:00:00",1,0,0,1,10.66,12.88,60,15.0013
"561","2011-02-06 12:00:00",1,0,0,1,13.94,16.665,46,0
"563","2011-02-06 14:00:00",1,0,0,1,13.94,17.425,46,6.0032
"564","2011-02-06 15:00:00",1,0,0,1,13.94,17.425,46,6.0032
"572","2011-02-06 23:00:00",1,0,0,1,9.84,14.395,65,0
"574","2011-02-07 01:00:00",1,0,1,1,9.02,13.635,75,0
"577","2011-02-07 04:00:00",1,0,1,1,8.2,12.88,86,0
"578","2011-02-07 05:00:00",1,0,1,1,8.2,12.88,86,0
"584","2011-02-07 11:00:00",1,0,1,1,12.3,15.91,65,6.0032
"586","2011-02-07 13:00:00",1,0,1,2,14.76,18.18,57,6.0032
"595","2011-02-07 22:00:00",1,0,1,1,11.48,15.15,81,6.0032
"597","2011-02-08 00:00:00",1,0,1,2,11.48,15.91,87,0
"598","2011-02-08 01:00:00",1,0,1,2,11.48,15.91,87,0
"604","2011-02-08 07:00:00",1,0,1,1,9.84,9.85,65,27.9993
"609","2011-02-08 12:00:00",1,0,1,1,9.84,9.85,38,32.9975
"610","2011-02-08 13:00:00",1,0,1,2,9.84,9.85,32,30.0026
"614","2011-02-08 17:00:00",1,0,1,1,9.02,9.09,32,39.0007
"621","2011-02-09 00:00:00",1,0,1,1,4.1,3.79,36,23.9994
"622","2011-02-09 01:00:00",1,0,1,1,4.1,5.305,36,15.0013
"632","2011-02-09 12:00:00",1,0,1,2,7.38,9.09,40,15.0013
"641","2011-02-09 21:00:00",1,0,1,2,5.74,7.575,86,11.0014
"644","2011-02-10 00:00:00",1,0,1,3,5.74,6.82,86,12.998
"658","2011-02-10 15:00:00",1,0,1,1,8.2,9.85,25,16.9979
"663","2011-02-10 20:00:00",1,0,1,1,5.74,9.09,31,6.0032
"667","2011-02-11 00:00:00",1,0,1,1,4.1,6.82,49,7.0015
"668","2011-02-11 01:00:00",1,0,1,1,4.1,6.82,54,6.0032
"672","2011-02-11 07:00:00",1,0,1,1,3.28,8.335,73,0
"685","2011-02-11 20:00:00",1,0,1,1,9.02,11.365,55,8.9981
"687","2011-02-11 22:00:00",1,0,1,1,8.2,11.365,64,6.0032
"688","2011-02-11 23:00:00",1,0,1,1,7.38,12.12,69,0
"689","2011-02-12 00:00:00",1,0,0,1,6.56,9.85,69,6.0032
"692","2011-02-12 03:00:00",1,0,0,1,4.92,9.85,80,0
"695","2011-02-12 06:00:00",1,0,0,1,4.92,6.82,93,12.998
"696","2011-02-12 07:00:00",1,0,0,1,4.92,7.575,80,7.0015
"717","2011-02-13 04:00:00",1,0,0,2,8.2,10.605,69,11.0014
"719","2011-02-13 07:00:00",1,0,0,2,9.02,13.635,55,0
"723","2011-02-13 11:00:00",1,0,0,1,13.12,14.395,39,30.0026
"744","2011-02-14 08:00:00",1,0,1,1,15.58,19.695,40,31.0009
"747","2011-02-14 11:00:00",1,0,1,1,21.32,25,23,16.9979
"752","2011-02-14 16:00:00",1,0,1,1,21.32,25,27,31.0009
"754","2011-02-14 18:00:00",1,0,1,1,16.4,20.455,40,40.9973
"756","2011-02-14 20:00:00",1,0,1,1,14.76,15.91,46,31.0009
"758","2011-02-14 22:00:00",1,0,1,1,13.94,14.395,46,43.9989
"763","2011-02-15 04:00:00",1,0,1,1,9.02,9.09,37,35.0008
"768","2011-02-15 09:00:00",1,0,1,1,9.02,9.85,29,30.0026
"772","2011-02-15 13:00:00",1,0,1,1,13.12,15.15,21,15.0013
"773","2011-02-15 14:00:00",1,0,1,1,13.94,15.91,19,15.0013
"777","2011-02-15 18:00:00",1,0,1,1,12.3,15.15,22,8.9981
"779","2011-02-15 20:00:00",1,0,1,1,10.66,13.635,33,7.0015
"785","2011-02-16 03:00:00",1,0,1,2,8.2,9.85,47,12.998
"793","2011-02-16 11:00:00",1,0,1,1,13.94,15.15,34,19.9995
"794","2011-02-16 12:00:00",1,0,1,1,15.58,19.695,32,22.0028
"798","2011-02-16 16:00:00",1,0,1,1,18.86,22.725,31,26.0027
"800","2011-02-16 18:00:00",1,0,1,1,16.4,20.455,40,15.0013
"805","2011-02-16 23:00:00",1,0,1,1,15.58,19.695,40,15.0013
"809","2011-02-17 03:00:00",1,0,1,1,13.94,16.665,53,12.998
"810","2011-02-17 04:00:00",1,0,1,1,13.12,15.91,57,12.998
"811","2011-02-17 05:00:00",1,0,1,1,13.12,16.665,66,6.0032
"813","2011-02-17 07:00:00",1,0,1,1,13.12,16.665,57,7.0015
"815","2011-02-17 09:00:00",1,0,1,1,14.76,17.425,57,12.998
"820","2011-02-17 14:00:00",1,0,1,1,24.6,31.06,31,15.0013
"823","2011-02-17 17:00:00",1,0,1,2,23.78,27.275,32,19.9995
"824","2011-02-17 18:00:00",1,0,1,2,22.14,25.76,42,19.0012
"832","2011-02-18 02:00:00",1,0,1,1,18.04,21.97,72,19.0012
"836","2011-02-18 06:00:00",1,0,1,2,18.04,21.97,72,11.0014
"837","2011-02-18 07:00:00",1,0,1,2,17.22,21.21,77,15.0013
"845","2011-02-18 15:00:00",1,0,1,1,27.06,31.06,36,22.0028
"848","2011-02-18 18:00:00",1,0,1,1,26.24,31.06,33,22.0028
"850","2011-02-18 20:00:00",1,0,1,1,24.6,31.06,31,12.998
"851","2011-02-18 21:00:00",1,0,1,1,23.78,27.275,21,32.9975
"854","2011-02-19 00:00:00",1,0,0,1,19.68,23.485,12,32.9975
"861","2011-02-19 07:00:00",1,0,0,1,15.58,19.695,17,35.0008
"867","2011-02-19 13:00:00",1,0,0,1,18.04,21.97,16,40.9973
"868","2011-02-19 14:00:00",1,0,0,1,18.86,22.725,15,43.9989
"869","2011-02-19 15:00:00",1,0,0,1,18.04,21.97,16,50.0021
"872","2011-02-19 18:00:00",1,0,0,1,14.76,15.91,25,30.0026
"875","2011-02-19 21:00:00",1,0,0,1,13.12,13.635,26,36.9974
"878","2011-03-01 00:00:00",1,0,1,1,12.3,13.635,70,31.0009
"882","2011-03-01 04:00:00",1,0,1,1,9.02,10.605,69,16.9979
"888","2011-03-01 10:00:00",1,0,1,1,9.84,10.605,52,19.0012
"890","2011-03-01 12:00:00",1,0,1,1,12.3,15.15,39,8.9981
"895","2011-03-01 17:00:00",1,0,1,1,13.94,17.425,34,6.0032
"897","2011-03-01 19:00:00",1,0,1,1,12.3,15.15,49,8.9981
"898","2011-03-01 20:00:00",1,0,1,1,12.3,15.91,61,6.0032
"900","2011-03-01 22:00:00",1,0,1,1,9.84,13.635,62,7.0015
"904","2011-03-02 02:00:00",1,0,1,1,9.02,11.365,69,12.998
"910","2011-03-02 08:00:00",1,0,1,1,9.84,10.605,65,19.0012
"915","2011-03-02 13:00:00",1,0,1,1,20.5,24.24,25,0
"916","2011-03-02 14:00:00",1,0,1,1,21.32,25,23,19.9995
"918","2011-03-02 16:00:00",1,0,1,1,22.14,25.76,19,22.0028
"922","2011-03-02 20:00:00",1,0,1,1,14.76,16.665,29,27.9993
"931","2011-03-03 05:00:00",1,0,1,1,5.74,6.06,33,19.9995
"934","2011-03-03 08:00:00",1,0,1,1,5.74,6.06,39,19.9995
"939","2011-03-03 13:00:00",1,0,1,1,9.02,12.88,25,6.0032
"941","2011-03-03 15:00:00",1,0,1,1,9.84,14.395,23,0
"953","2011-03-04 03:00:00",1,0,1,2,7.38,8.335,74,16.9979
"956","2011-03-04 06:00:00",1,0,1,2,6.56,9.85,74,6.0032
"957","2011-03-04 07:00:00",1,0,1,1,6.56,9.09,80,8.9981
"958","2011-03-04 08:00:00",1,0,1,1,7.38,9.85,74,8.9981
"964","2011-03-04 14:00:00",1,0,1,1,14.76,16.665,40,19.0012
"975","2011-03-05 01:00:00",1,0,0,2,12.3,15.91,81,7.0015
"988","2011-03-05 14:00:00",1,0,0,2,19.68,23.485,59,19.0012
"989","2011-03-05 15:00:00",1,0,0,2,18.86,22.725,63,19.9995
"1015","2011-03-06 18:00:00",1,0,0,3,13.12,14.395,100,23.9994
"1016","2011-03-06 19:00:00",1,0,0,3,12.3,12.88,100,32.9975
"1024","2011-03-07 04:00:00",1,0,1,1,8.2,7.575,80,35.0008
"1028","2011-03-07 08:00:00",1,0,1,1,8.2,9.09,75,26.0027
"1030","2011-03-07 10:00:00",1,0,1,1,9.84,10.605,60,19.9995
"1037","2011-03-07 17:00:00",1,0,1,1,13.94,15.15,29,23.9994
"1043","2011-03-07 23:00:00",1,0,1,1,11.48,15.91,48,0
"1055","2011-03-08 11:00:00",1,0,1,2,14.76,17.425,25,11.0014
"1056","2011-03-08 12:00:00",1,0,1,2,14.76,18.94,23,0
"1057","2011-03-08 13:00:00",1,0,1,2,15.58,19.695,25,7.0015
"1058","2011-03-08 14:00:00",1,0,1,2,15.58,19.695,20,0
"1065","2011-03-08 21:00:00",1,0,1,1,12.3,14.395,49,12.998
"1068","2011-03-09 00:00:00",1,0,1,1,10.66,14.395,65,6.0032
"1070","2011-03-09 02:00:00",1,0,1,1,10.66,13.635,52,8.9981
"1076","2011-03-09 08:00:00",1,0,1,2,9.84,12.12,87,8.9981
"1084","2011-03-09 16:00:00",1,0,1,2,13.94,15.15,76,22.0028
"1091","2011-03-09 23:00:00",1,0,1,3,13.94,16.665,93,12.998
"1092","2011-03-10 00:00:00",1,0,1,3,13.94,15.91,0,16.9979
"1093","2011-03-10 01:00:00",1,0,1,3,13.94,15.91,0,16.9979
"1105","2011-03-10 15:00:00",1,0,1,3,18.04,21.97,0,15.0013
"1106","2011-03-10 16:00:00",1,0,1,3,17.22,21.21,0,16.9979
"1109","2011-03-10 19:00:00",1,0,1,3,18.04,21.97,0,39.0007
"1115","2011-03-11 01:00:00",1,0,1,3,13.94,17.425,100,7.0015
"1119","2011-03-11 06:00:00",1,0,1,1,10.66,12.12,81,19.0012
"1124","2011-03-11 11:00:00",1,0,1,2,13.12,15.15,57,19.9995
"1129","2011-03-11 16:00:00",1,0,1,2,13.94,15.15,49,19.9995
"1139","2011-03-12 02:00:00",1,0,0,1,9.84,11.365,65,12.998
"1149","2011-03-12 12:00:00",1,0,0,1,13.94,15.91,53,19.0012
"1159","2011-03-12 22:00:00",1,0,0,1,14.76,18.94,71,0
"1165","2011-03-13 05:00:00",1,0,0,1,14.76,17.425,62,8.9981
"1166","2011-03-13 06:00:00",1,0,0,1,13.94,18.18,66,0
"1169","2011-03-13 09:00:00",1,0,0,1,16.4,20.455,50,27.9993
"1174","2011-03-13 14:00:00",1,0,0,1,18.86,22.725,41,19.9995
"1177","2011-03-13 17:00:00",1,0,0,1,18.04,21.97,41,23.9994
"1182","2011-03-13 22:00:00",1,0,0,1,12.3,13.635,56,22.0028
"1187","2011-03-14 03:00:00",1,0,1,1,10.66,13.635,65,8.9981
"1190","2011-03-14 07:00:00",1,0,1,2,11.48,15.91,61,0
"1196","2011-03-14 13:00:00",1,0,1,1,15.58,19.695,36,22.0028
"1200","2011-03-14 17:00:00",1,0,1,1,15.58,19.695,40,12.998
"1202","2011-03-14 19:00:00",1,0,1,1,14.76,17.425,43,8.9981
"1204","2011-03-14 21:00:00",1,0,1,1,13.94,16.665,46,8.9981
"1210","2011-03-15 04:00:00",1,0,1,1,9.84,12.88,75,6.0032
"1213","2011-03-15 07:00:00",1,0,1,1,9.84,12.12,75,11.0014
"1214","2011-03-15 08:00:00",1,0,1,1,10.66,14.395,70,6.0032
"1217","2011-03-15 11:00:00",1,0,1,2,13.94,15.91,57,15.0013
"1221","2011-03-15 15:00:00",1,0,1,2,15.58,19.695,43,19.0012
"1223","2011-03-15 17:00:00",1,0,1,2,14.76,17.425,62,12.998
"1228","2011-03-15 22:00:00",1,0,1,2,13.12,15.91,87,11.0014
"1229","2011-03-15 23:00:00",1,0,1,2,13.12,15.91,87,11.0014
"1233","2011-03-16 04:00:00",1,0,1,2,12.3,15.15,93,11.0014
"1245","2011-03-16 16:00:00",1,0,1,2,16.4,20.455,76,11.0014
"1246","2011-03-16 17:00:00",1,0,1,2,18.04,21.97,54,19.9995
"1250","2011-03-16 21:00:00",1,0,1,2,17.22,21.21,58,19.0012
"1256","2011-03-17 03:00:00",1,0,1,1,13.94,16.665,66,11.0014
"1263","2011-03-17 10:00:00",1,0,1,1,18.04,21.97,54,22.0028
"1264","2011-03-17 11:00:00",1,0,1,1,18.04,21.97,54,19.0012
"1283","2011-03-18 07:00:00",1,0,1,1,16.4,20.455,66,12.998
"1287","2011-03-18 11:00:00",1,0,1,1,22.14,25.76,52,19.0012
"1298","2011-03-18 22:00:00",1,0,1,1,25.42,31.06,50,11.0014
"1302","2011-03-19 02:00:00",1,0,0,2,22.96,26.515,43,15.0013
"1316","2011-03-19 16:00:00",1,0,0,1,20.5,24.24,31,26.0027
"1318","2011-03-19 18:00:00",1,0,0,1,18.86,22.725,31,22.0028
"1331","2011-04-01 07:00:00",2,0,1,3,9.84,12.12,93,0
"1332","2011-04-01 08:00:00",2,0,1,2,10.66,12.12,87,16.9979
"1334","2011-04-01 10:00:00",2,0,1,1,13.12,15.15,66,19.0012
"1339","2011-04-01 15:00:00",2,0,1,1,13.94,15.15,46,27.9993
"1347","2011-04-01 23:00:00",2,0,1,1,12.3,15.91,61,6.0032
"1349","2011-04-02 01:00:00",2,0,0,1,10.66,13.635,65,8.9981
"1350","2011-04-02 02:00:00",2,0,0,1,9.84,12.12,75,8.9981
"1357","2011-04-02 09:00:00",2,0,0,2,13.94,17.425,66,7.0015
"1369","2011-04-02 21:00:00",2,0,0,1,13.12,15.15,61,16.9979
"1370","2011-04-02 22:00:00",2,0,0,1,13.12,15.15,61,19.9995
"1376","2011-04-03 04:00:00",2,0,0,1,11.48,15.15,70,6.0032
"1383","2011-04-03 11:00:00",2,0,0,1,17.22,21.21,41,16.9979
"1385","2011-04-03 13:00:00",2,0,0,1,18.04,21.97,33,19.9995
"1392","2011-04-03 20:00:00",2,0,0,3,17.22,21.21,41,15.0013
"1394","2011-04-03 22:00:00",2,0,0,1,16.4,20.455,43,7.0015
"1399","2011-04-04 03:00:00",2,0,1,1,15.58,19.695,66,19.0012
"1400","2011-04-04 04:00:00",2,0,1,1,15.58,19.695,71,19.9995
"1402","2011-04-04 06:00:00",2,0,1,1,17.22,21.21,58,19.0012
"1403","2011-04-04 07:00:00",2,0,1,2,18.04,21.97,54,16.9979
"1404","2011-04-04 08:00:00",2,0,1,2,18.86,22.725,55,19.9995
"1406","2011-04-04 10:00:00",2,0,1,2,22.14,25.76,45,23.9994
"1414","2011-04-04 18:00:00",2,0,1,2,29.52,31.82,23,32.9975
"1421","2011-04-05 01:00:00",2,0,1,3,25.42,31.06,57,27.9993
"1425","2011-04-05 05:00:00",2,0,1,3,18.86,22.725,94,19.9995
"1431","2011-04-05 11:00:00",2,0,1,3,13.12,14.395,81,30.0026
"1437","2011-04-05 17:00:00",2,0,1,1,17.22,21.21,38,27.9993
"1445","2011-04-06 01:00:00",2,0,1,1,10.66,13.635,60,8.9981
"1449","2011-04-06 05:00:00",2,0,1,1,9.84,12.88,70,7.0015
"1454","2011-04-06 10:00:00",2,0,1,1,16.4,20.455,37,26.0027
"1459","2011-04-06 15:00:00",2,0,1,1,21.32,25,32,22.0028
"1460","2011-04-06 16:00:00",2,0,1,1,22.14,25.76,28,27.9993
"1462","2011-04-06 18:00:00",2,0,1,1,21.32,25,29,23.9994
"1465","2011-04-06 21:00:00",2,0,1,1,18.86,22.725,41,19.0012
"1468","2011-04-07 00:00:00",2,0,1,1,18.86,22.725,41,19.0012
"1470","2011-04-07 02:00:00",2,0,1,1,17.22,21.21,54,0
"1472","2011-04-07 04:00:00",2,0,1,1,13.94,16.665,76,12.998
"1478","2011-04-07 10:00:00",2,0,1,2,17.22,21.21,67,7.0015
"1483","2011-04-07 15:00:00",2,0,1,1,24.6,31.06,38,7.0015
"1484","2011-04-07 16:00:00",2,0,1,1,24.6,31.06,35,0
"1486","2011-04-07 18:00:00",2,0,1,1,19.68,23.485,55,16.9979
"1496","2011-04-08 04:00:00",2,0,1,2,13.94,16.665,86,8.9981
"1510","2011-04-08 18:00:00",2,0,1,3,13.12,15.15,93,16.9979
"1511","2011-04-08 19:00:00",2,0,1,3,12.3,13.635,93,27.9993
"1513","2011-04-08 21:00:00",2,0,1,2,12.3,14.395,93,16.9979
"1516","2011-04-09 00:00:00",2,0,0,2,12.3,14.395,87,15.0013
"1522","2011-04-09 06:00:00",2,0,0,2,12.3,14.395,93,12.998
"1525","2011-04-09 09:00:00",2,0,0,2,13.94,17.425,87,7.0015
"1526","2011-04-09 10:00:00",2,0,0,2,13.94,16.665,87,8.9981
"1535","2011-04-09 19:00:00",2,0,0,2,15.58,19.695,82,8.9981
"1546","2011-04-10 06:00:00",2,0,0,2,14.76,18.18,93,6.0032
"1547","2011-04-10 07:00:00",2,0,0,2,14.76,18.18,100,6.0032
"1552","2011-04-10 12:00:00",2,0,0,2,17.22,21.21,88,8.9981
"1554","2011-04-10 14:00:00",2,0,0,1,20.5,24.24,72,12.998
"1557","2011-04-10 17:00:00",2,0,0,2,21.32,25,72,12.998
"1559","2011-04-10 19:00:00",2,0,0,1,20.5,24.24,77,12.998
"1560","2011-04-10 20:00:00",2,0,0,1,18.86,22.725,82,8.9981
"1565","2011-04-11 01:00:00",2,0,1,1,18.86,22.725,94,19.0012
"1566","2011-04-11 02:00:00",2,0,1,1,18.86,22.725,94,19.0012
"1588","2011-04-12 01:00:00",2,0,1,2,25.42,31.06,50,6.0032
"1595","2011-04-12 08:00:00",2,0,1,3,19.68,23.485,88,26.0027
"1601","2011-04-12 14:00:00",2,0,1,2,20.5,24.24,82,19.0012
"1612","2011-04-13 01:00:00",2,0,1,2,16.4,20.455,100,19.9995
"1613","2011-04-13 02:00:00",2,0,1,3,16.4,20.455,100,19.9995
"1619","2011-04-13 08:00:00",2,0,1,3,15.58,19.695,94,12.998
"1622","2011-04-13 11:00:00",2,0,1,2,17.22,21.21,82,12.998
"1626","2011-04-13 15:00:00",2,0,1,2,18.04,21.97,72,19.0012
"1628","2011-04-13 17:00:00",2,0,1,1,18.86,22.725,67,19.9995
"1629","2011-04-13 18:00:00",2,0,1,1,18.04,21.97,62,26.0027
"1630","2011-04-13 19:00:00",2,0,1,1,18.04,21.97,62,16.9979
"1631","2011-04-13 20:00:00",2,0,1,1,18.04,21.97,62,16.9979
"1632","2011-04-13 21:00:00",2,0,1,1,17.22,21.21,67,11.0014
"1635","2011-04-14 00:00:00",2,0,1,1,15.58,19.695,76,8.9981
"1651","2011-04-14 16:00:00",2,0,1,1,24.6,30.305,26,7.0015
"1659","2011-04-15 00:00:00",2,1,0,1,18.04,21.97,67,0
"1662","2011-04-15 03:00:00",2,1,0,1,16.4,20.455,76,0
"1688","2011-04-16 05:00:00",2,0,0,2,15.58,19.695,87,19.0012
"1689","2011-04-16 06:00:00",2,0,0,3,16.4,20.455,82,22.0028
"1690","2011-04-16 07:00:00",2,0,0,2,16.4,20.455,82,27.9993
"1700","2011-04-16 17:00:00",2,0,0,3,20.5,24.24,88,39.0007
"1705","2011-04-16 22:00:00",2,0,0,3,17.22,21.21,100,0
"1709","2011-04-17 02:00:00",2,0,0,1,16.4,20.455,62,12.998
"1712","2011-04-17 05:00:00",2,0,0,1,14.76,17.425,71,11.0014
"1714","2011-04-17 07:00:00",2,0,0,1,14.76,16.665,50,23.9994
"1715","2011-04-17 08:00:00",2,0,0,1,15.58,19.695,46,26.0027
"1717","2011-04-17 10:00:00",2,0,0,1,17.22,21.21,44,30.0026
"1720","2011-04-17 13:00:00",2,0,0,1,20.5,24.24,34,26.0027
"1731","2011-04-18 00:00:00",2,0,1,1,18.86,22.725,47,6.0032
