"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
"803","2011-02-16 21:00:00",1,0,1,1,14.76,17.425,46,12.998,5,87,92
"4105","2011-10-03 01:00:00",4,0,1,1,14.76,18.18,81,6.0032,1,5,6
"9952","2012-10-19 00:00:00",4,0,1,2,22.96,26.515,83,7.0015,5,51,56
"4643","2011-11-06 12:00:00",4,0,0,1,18.04,21.97,54,0,120,226,346
"8555","2012-07-17 19:00:00",3,0,1,1,36.08,39.395,35,16.9979,69,478,547
"5278","2011-12-13 23:00:00",4,0,1,1,10.66,15.15,70,0,4,55,59
"924","2011-03-02 22:00:00",1,0,1,1,12.3,12.88,26,36.9974,4,44,48
"6158","2012-02-12 19:00:00",1,0,0,1,6.56,6.82,40,19.0012,2,78,80
"2376","2011-06-06 21:00:00",2,0,1,1,27.06,31.06,57,6.0032,29,160,189
"585","2011-02-07 12:00:00",1,0,1,2,13.12,17.425,62,0,7,59,66
"7092","2012-04-13 20:00:00",2,0,1,1,20.5,24.24,29,8.9981,44,242,286
"5520","2012-01-05 02:00:00",1,0,1,1,8.2,11.365,51,6.0032,0,4,4
"7193","2012-04-18 01:00:00",2,0,1,1,21.32,25,34,12.998,1,13,14
"3890","2011-09-13 02:00:00",3,0,1,1,24.6,28.79,78,0,2,0,2
"3069","2011-07-16 18:00:00",3,0,0,1,31.16,34.09,45,19.0012,185,243,428
"1913","2011-05-06 14:00:00",2,0,1,1,24.6,31.06,40,30.0026,86,127,213
"1937","2011-05-07 14:00:00",2,0,0,3,24.6,31.06,35,11.0014,143,235,378
"2947","2011-07-11 16:00:00",3,0,1,1,35.26,42.425,56,26.0027,57,182,239
"8435","2012-07-12 19:00:00",3,0,1,1,30.34,33.335,48,15.0013,97,532,629
"9760","2012-10-11 00:00:00",4,0,1,1,18.04,21.97,51,8.9981,1,41,42
"3310","2011-08-07 19:00:00",3,0,0,1,29.52,34.85,79,11.0014,68,160,228
"1592","2011-04-12 05:00:00",2,0,1,2,22.14,25.76,68,8.9981,1,15,16
"5698","2012-01-12 13:00:00",1,0,1,1,17.22,21.21,77,11.0014,13,170,183
"1775","2011-04-19 20:00:00",2,0,1,2,20.5,24.24,72,15.0013,20,148,168
"4571","2011-11-03 12:00:00",4,0,1,1,20.5,24.24,51,12.998,17,162,179
"104","2011-01-05 12:00:00",1,0,1,1,10.66,11.365,33,22.0028,5,74,79
"3402","2011-08-11 15:00:00",3,0,1,1,32.8,34.85,29,19.9995,52,126,178
"782","2011-02-15 23:00:00",1,0,1,2,9.02,12.88,44,6.0032,0,20,20
"9829","2012-10-13 21:00:00",4,0,0,1,16.4,20.455,58,12.998,47,157,204
"9393","2012-09-14 17:00:00",3,0,1,1,29.52,33.335,51,12.998,137,757,894
"10125","2012-11-07 05:00:00",4,0,1,2,11.48,12.88,52,22.0028,0,27,27
"8855","2012-08-11 07:00:00",3,0,0,1,26.24,28.79,83,6.0032,8,54,62
"3124","2011-07-19 01:00:00",3,0,1,2,30.34,34.85,66,8.9981,7,6,13
"6454","2012-03-06 03:00:00",1,0,1,1,7.38,8.335,51,19.0012,0,1,1
"8060","2012-06-16 04:00:00",2,0,0,1,22.14,25.76,68,8.9981,3,5,8
"7732","2012-06-02 12:00:00",2,0,0,1,25.42,31.06,43,23.9994,250,418,668
"6151","2012-02-12 12:00:00",1,0,0,1,5.74,3.79,39,43.0006,7,133,140
"6424","2012-03-04 21:00:00",1,0,0,1,11.48,13.635,36,15.0013,9,70,79
"8928","2012-08-14 08:00:00",3,0,1,2,27.06,29.545,89,6.0032,27,591,618
"9331","2012-09-12 03:00:00",3,0,1,1,20.5,24.24,77,6.0032,0,7,7
"7943","2012-06-11 07:00:00",2,0,1,1,26.24,29.545,78,7.0015,25,478,503
"8326","2012-07-08 06:00:00",3,0,0,1,31.98,38.635,70,8.9981,5,16,21
"7973","2012-06-12 13:00:00",2,0,1,3,27.06,30.305,83,12.998,11,48,59
"4389","2011-10-14 21:00:00",4,0,1,1,20.5,24.24,45,12.998,22,156,178
"4386","2011-10-14 18:00:00",4,0,1,1,22.14,25.76,39,19.0012,62,361,423
"8078","2012-06-16 22:00:00",2,0,0,1,25.42,31.06,53,19.9995,91,189,280
"7179","2012-04-17 11:00:00",2,0,1,1,24.6,31.06,33,27.9993,65,174,239
"1203","2011-03-14 20:00:00",1,0,1,1,13.94,15.91,46,15.0013,23,106,129
"570","2011-02-06 21:00:00",1,0,0,1,10.66,15.15,60,0,5,22,27
"681","2011-02-11 16:00:00",1,0,1,1,12.3,14.395,28,12.998,14,111,125
"2849","2011-07-07 14:00:00",3,0,1,1,35.26,39.395,41,16.9979,39,121,160
"1239","2011-03-16 10:00:00",1,0,1,2,14.76,17.425,81,11.0014,19,49,68
"8701","2012-08-04 21:00:00",3,0,0,1,32.8,38.635,59,16.9979,96,193,289
"8793","2012-08-08 17:00:00",3,0,1,2,32.8,37.88,55,19.0012,107,751,858
"5846","2012-01-18 18:00:00",1,0,1,1,9.84,10.605,32,23.9994,8,347,355
"3606","2011-09-01 03:00:00",3,0,1,1,23.78,27.275,78,6.0032,7,7,14
"4946","2011-11-19 03:00:00",4,0,0,1,10.66,12.12,48,16.9979,4,11,15
"2745","2011-07-03 06:00:00",3,0,0,2,25.42,27.275,94,6.0032,0,3,3
"10542","2012-12-05 15:00:00",4,0,1,1,19.68,23.485,33,19.0012,20,265,285
"2812","2011-07-06 01:00:00",3,0,1,1,28.7,33.335,74,8.9981,4,11,15
"1822","2011-05-02 19:00:00",2,0,1,2,25.42,30.305,69,8.9981,46,268,314
"6257","2012-02-16 22:00:00",1,0,1,2,13.12,17.425,81,0,3,108,111
"6858","2012-04-04 01:00:00",2,0,1,1,18.86,22.725,59,0,0,11,11
"9403","2012-09-15 03:00:00",3,0,0,1,24.6,29.545,73,16.9979,6,31,37
"1768","2011-04-19 13:00:00",2,0,1,2,22.14,25.76,68,15.0013,26,103,129
"4037","2011-09-19 05:00:00",3,0,1,2,20.5,24.24,77,12.998,2,26,28
"6222","2012-02-15 11:00:00",1,0,1,1,14.76,16.665,53,19.0012,13,125,138
"5074","2011-12-05 11:00:00",4,0,1,2,14.76,18.18,87,6.0032,17,106,123
"149","2011-01-07 11:00:00",1,0,1,2,8.2,9.85,40,15.0013,19,48,67
"3486","2011-08-15 03:00:00",3,0,1,1,24.6,28.03,83,12.998,1,6,7
"2337","2011-06-05 06:00:00",2,0,0,2,25.42,30.305,61,7.0015,10,11,21
"7713","2012-06-01 17:00:00",2,0,1,3,28.7,32.575,70,16.9979,25,202,227
"4722","2011-11-09 19:00:00",4,0,1,1,18.04,21.97,72,7.0015,12,292,304
"5641","2012-01-10 04:00:00",1,0,1,2,8.2,10.605,86,11.0014,0,4,4
"5221","2011-12-11 14:00:00",4,0,0,1,12.3,16.665,28,0,44,198,242
"1289","2011-03-18 13:00:00",1,0,1,1,26.24,31.06,41,19.0012,57,118,175
"6614","2012-03-12 20:00:00",1,0,1,2,22.96,26.515,49,15.0013,49,237,286
"6183","2012-02-13 20:00:00",1,0,1,1,12.3,15.15,42,11.0014,4,210,214
"944","2011-03-03 18:00:00",1,0,1,1,9.84,10.605,35,22.0028,6,161,167
"6667","2012-03-15 01:00:00",1,0,1,1,20.5,24.24,59,7.0015,15,8,23
"1044","2011-03-08 00:00:00",1,0,1,1,10.66,14.395,48,6.0032,1,9,10
"1549","2011-04-10 09:00:00",2,0,0,2,15.58,19.695,94,8.9981,31,50,81
"4587","2011-11-04 04:00:00",4,0,1,2,15.58,19.695,87,6.0032,1,6,7
"5793","2012-01-16 12:00:00",1,1,0,1,8.2,9.09,55,22.0028,20,165,185
"9942","2012-10-18 14:00:00",4,0,1,2,25.42,31.06,50,19.9995,94,191,285
"520","2011-02-04 19:00:00",1,0,1,2,9.84,12.12,65,8.9981,1,102,103
"5402","2011-12-19 03:00:00",4,0,1,1,6.56,9.85,86,6.0032,0,3,3
"6906","2012-04-06 01:00:00",2,0,1,1,14.76,17.425,62,8.9981,10,28,38
"6028","2012-02-07 09:00:00",1,0,1,1,13.12,16.665,49,0,11,278,289
"5929","2012-02-03 05:00:00",1,0,1,1,10.66,12.88,60,15.0013,0,17,17
"6306","2012-02-18 23:00:00",1,0,0,2,14.76,16.665,40,26.0027,12,62,74
"9410","2012-09-15 10:00:00",3,0,0,1,25.42,31.06,41,26.0027,119,323,442
"7122","2012-04-15 02:00:00",2,0,0,2,22.14,25.76,56,7.0015,20,54,74
"1135","2011-03-11 22:00:00",1,0,1,1,12.3,15.15,52,11.0014,11,53,64
"10495","2012-12-03 16:00:00",4,0,1,1,24.6,31.06,53,8.9981,45,397,442
"9800","2012-10-12 16:00:00",4,0,1,1,18.86,22.725,41,23.9994,108,412,520
"1162","2011-03-13 01:00:00",1,0,0,1,14.76,17.425,66,8.9981,10,23,33
"5580","2012-01-07 14:00:00",1,0,0,1,20.5,24.24,42,19.0012,156,356,512
"7579","2012-05-15 03:00:00",2,0,1,3,23.78,27.275,83,8.9981,1,5,6
"1788","2011-05-01 09:00:00",2,0,0,2,18.86,22.725,72,8.9981,45,96,141
"1479","2011-04-07 11:00:00",2,0,1,2,18.86,22.725,55,0,36,86,122
"6798","2012-04-01 12:00:00",2,0,0,2,17.22,21.21,67,15.0013,187,258,445
"5487","2012-01-03 17:00:00",1,0,1,1,5.74,5.305,26,31.0009,4,241,245
"5943","2012-02-03 19:00:00",1,0,1,1,13.94,17.425,49,7.0015,11,256,267
"9007","2012-08-17 15:00:00",3,0,1,1,35.26,12.12,30,31.0009,127,256,383
"5733","2012-01-14 00:00:00",1,0,0,1,6.56,9.09,47,7.0015,2,42,44
"9310","2012-09-11 06:00:00",3,0,1,1,18.86,22.725,77,7.0015,11,200,211
"9494","2012-09-18 22:00:00",3,0,1,3,23.78,27.275,83,31.0009,14,137,151
"6714","2012-03-17 00:00:00",1,0,0,2,18.04,21.97,94,6.0032,13,87,100
"8692","2012-08-04 12:00:00",3,0,0,1,35.26,39.395,40,23.9994,222,325,547
"5435","2012-01-01 12:00:00",1,0,0,1,16.4,20.455,62,19.0012,58,143,201
"10177","2012-11-09 10:00:00",4,0,1,1,14.76,16.665,50,22.0028,34,163,197
"1428","2011-04-05 08:00:00",2,0,1,3,15.58,19.695,87,39.0007,9,148,157
"85","2011-01-04 16:00:00",1,0,1,1,12.3,14.395,49,16.9979,15,68,83
"8645","2012-08-02 13:00:00",3,0,1,1,35.26,39.395,44,15.0013,98,212,310
"7586","2012-05-15 10:00:00",2,0,1,1,25.42,29.545,78,7.0015,27,144,171
"9381","2012-09-14 05:00:00",3,0,1,1,22.14,25.76,83,0,1,40,41
"10450","2012-12-01 19:00:00",4,0,0,2,13.12,17.425,81,0,30,219,249
"2173","2011-05-17 10:00:00",2,0,1,3,22.14,25.76,88,16.9979,31,73,104
"4677","2011-11-07 22:00:00",4,0,1,1,14.76,18.18,81,6.0032,6,102,108
"132","2011-01-06 17:00:00",1,0,1,1,9.02,11.365,51,11.0014,9,163,172
"6721","2012-03-17 07:00:00",1,0,0,2,16.4,20.455,100,8.9981,29,57,86
"7274","2012-05-02 10:00:00",2,0,1,2,23.78,27.275,83,7.0015,28,147,175
"1341","2011-04-01 17:00:00",2,0,1,1,13.94,15.15,46,22.0028,36,245,281
"192","2011-01-09 06:00:00",1,0,0,1,4.1,4.545,49,19.0012,0,1,1
"1034","2011-03-07 14:00:00",1,0,1,1,13.12,14.395,36,27.9993,21,56,77
"6962","2012-04-08 09:00:00",2,0,0,1,18.04,21.97,26,15.0013,71,108,179
"9650","2012-10-06 10:00:00",4,0,0,1,25.42,30.305,69,19.0012,198,341,539
"416","2011-01-19 08:00:00",1,0,1,2,9.84,12.88,93,7.0015,1,196,197
"4217","2011-10-07 17:00:00",4,0,1,1,24.6,31.06,56,16.9979,101,462,563
"2501","2011-06-12 02:00:00",2,0,0,1,26.24,28.79,89,16.9979,9,57,66
"8968","2012-08-16 00:00:00",3,0,1,1,27.06,31.06,69,0,13,63,76
"4096","2011-10-02 16:00:00",4,0,0,3,14.76,17.425,87,12.998,44,162,206
"6174","2012-02-13 11:00:00",1,0,1,1,9.02,11.365,37,12.998,5,85,90
"4165","2011-10-05 13:00:00",4,0,1,1,26.24,31.06,41,15.0013,30,189,219
"3691","2011-09-04 16:00:00",3,0,0,1,32.8,38.635,59,15.0013,196,141,337
"4804","2011-11-13 05:00:00",4,0,0,1,13.94,16.665,61,11.0014,2,3,5
"1137","2011-03-12 00:00:00",1,0,0,1,10.66,13.635,60,8.9981,4,30,34
"9236","2012-09-08 04:00:00",3,0,0,2,27.06,29.545,94,15.0013,3,8,11
"8241","2012-07-04 17:00:00",3,1,0,1,37.72,42.425,35,19.9995,161,253,414
"2796","2011-07-05 09:00:00",3,0,1,1,30.34,34.09,58,8.9981,50,177,227
"8668","2012-08-03 12:00:00",3,0,1,2,35.26,40.91,50,19.9995,95,243,338
"3487","2011-08-15 04:00:00",3,0,1,1,24.6,28.03,83,8.9981,1,4,5
"8954","2012-08-15 10:00:00",3,0,1,2,29.52,34.09,62,12.998,70,163,233
"80","2011-01-04 11:00:00",1,0,1,1,9.02,10.605,51,19.9995,7,50,57
"4222","2011-10-07 22:00:00",4,0,1,1,20.5,24.24,68,0,27,119,146
"3226","2011-08-04 07:00:00",3,0,1,2,27.88,31.82,89,19.9995,11,271,282
"4620","2011-11-05 13:00:00",4,0,0,1,16.4,20.455,37,7.0015,148,207,355
"2498","2011-06-11 23:00:00",2,0,0,1,27.06,31.06,74,7.0015,24,107,131
"10223","2012-11-11 08:00:00",4,0,0,1,13.12,16.665,87,7.0015,32,87,119
"1970","2011-05-08 23:00:00",2,0,0,1,18.86,22.725,88,6.0032,9,41,50
"6792","2012-04-01 06:00:00",2,0,0,2,14.76,17.425,76,8.9981,9,88,97
"6142","2012-02-12 03:00:00",1,0,0,2,4.1,2.275,46,46.0022,0,14,14
"183","2011-01-08 21:00:00",1,0,0,1,4.92,5.305,39,23.9994,2,35,37
"3467","2011-08-14 08:00:00",3,0,0,2,27.06,29.545,89,19.0012,20,21,41
"9975","2012-10-19 23:00:00",4,0,1,1,18.86,22.725,88,7.0015,13,118,131
"2250","2011-06-01 15:00:00",2,0,1,1,36.9,41.665,39,19.9995,25,127,152
"9833","2012-10-14 01:00:00",4,0,0,1,17.22,21.21,77,19.0012,16,96,112
"3311","2011-08-07 20:00:00",3,0,0,1,29.52,35.605,84,8.9981,50,133,183
"3664","2011-09-03 13:00:00",3,0,0,1,28.7,32.575,65,15.0013,153,200,353
"2982","2011-07-13 03:00:00",3,0,1,1,30.34,34.09,58,12.998,0,4,4
"4472","2011-10-18 08:00:00",4,0,1,1,20.5,24.24,77,6.0032,25,474,499
"7189","2012-04-17 21:00:00",2,0,1,1,22.96,26.515,26,19.9995,37,260,297
"8670","2012-08-03 14:00:00",3,0,1,2,35.26,39.395,44,16.9979,102,229,331
"6364","2012-03-02 09:00:00",1,0,1,1,12.3,16.665,81,0,15,299,314
"5421","2011-12-19 22:00:00",4,0,1,2,14.76,17.425,57,11.0014,12,95,107
"9537","2012-10-01 17:00:00",4,0,1,3,22.96,26.515,60,16.9979,65,791,856
"5759","2012-01-15 02:00:00",1,0,0,2,6.56,6.82,47,19.0012,5,38,43
"5885","2012-02-01 09:00:00",1,0,1,2,14.76,17.425,71,12.998,9,267,276
"454","2011-02-01 23:00:00",1,0,1,3,8.2,9.85,93,12.998,1,15,16
"5852","2012-01-19 00:00:00",1,0,1,1,5.74,6.82,50,12.998,0,16,16
"3663","2011-09-03 12:00:00",3,0,0,1,28.7,32.575,61,15.0013,97,160,257
"6783","2012-03-19 21:00:00",1,0,1,1,24.6,30.305,64,11.0014,33,190,223
"2619","2011-06-17 00:00:00",2,0,1,1,22.96,26.515,88,6.0032,3,21,24
"5702","2012-01-12 17:00:00",1,0,1,1,18.86,22.725,63,11.0014,23,472,495
"7288","2012-05-03 00:00:00",2,0,1,2,19.68,23.485,82,15.0013,15,75,90
"235","2011-01-11 01:00:00",1,0,1,1,5.74,7.575,59,11.0014,0,3,3
"1803","2011-05-02 00:00:00",2,0,1,1,18.86,22.725,72,8.9981,68,109,177
"6728","2012-03-17 14:00:00",1,0,0,1,25.42,31.06,53,6.0032,352,338,690
"3012","2011-07-14 09:00:00",3,0,1,1,27.88,31.82,47,19.0012,29,195,224
"5423","2012-01-01 00:00:00",1,0,0,1,14.76,18.94,66,0,5,43,48
"766","2011-02-15 07:00:00",1,0,1,1,8.2,9.09,32,23.9994,2,103,105
"5807","2012-01-17 02:00:00",1,0,1,3,11.48,13.635,75,16.9979,0,12,12
"3035","2011-07-15 08:00:00",3,0,1,1,26.24,30.305,65,16.9979,50,514,564
"1364","2011-04-02 16:00:00",2,0,0,1,15.58,19.695,62,22.0028,111,85,196
"4329","2011-10-12 09:00:00",4,0,1,2,22.14,25.76,88,30.0026,14,183,197
"10675","2012-12-11 04:00:00",4,0,1,2,13.94,15.91,76,19.0012,0,8,8
"6668","2012-03-15 02:00:00",1,0,1,1,20.5,24.24,59,0,14,5,19
"2966","2011-07-12 11:00:00",3,0,1,1,33.62,38.635,52,11.0014,39,86,125
"5032","2011-12-03 17:00:00",4,0,0,1,14.76,18.94,62,0,46,186,232
"6491","2012-03-07 16:00:00",1,0,1,1,22.96,26.515,37,27.9993,34,254,288
"5127","2011-12-07 16:00:00",4,0,1,3,17.22,21.21,94,12.998,3,28,31
"4478","2011-10-18 14:00:00",4,0,1,2,25.42,31.06,41,11.0014,32,137,169
"4738","2011-11-10 11:00:00",4,0,1,2,18.86,22.725,67,26.0027,9,99,108
"1397","2011-04-04 01:00:00",2,0,1,1,16.4,20.455,56,23.9994,7,4,11
"4002","2011-09-17 18:00:00",3,0,0,2,21.32,25,72,15.0013,95,234,329
"10686","2012-12-11 15:00:00",4,0,1,2,15.58,19.695,50,15.0013,20,250,270
"4805","2011-11-13 06:00:00",4,0,0,1,13.94,16.665,66,8.9981,5,18,23
"1497","2011-04-08 05:00:00",2,0,1,2,13.12,15.91,87,12.998,1,8,9
"2684","2011-06-19 17:00:00",2,0,0,1,30.34,33.335,51,0,159,238,397
"1836","2011-05-03 09:00:00",2,0,1,2,24.6,28.79,78,23.9994,29,157,186
"4366","2011-10-13 22:00:00",4,0,1,1,25.42,28.79,83,12.998,13,101,114
"7340","2012-05-05 04:00:00",2,0,0,1,22.96,26.515,88,7.0015,0,9,9
"4290","2011-10-10 18:00:00",4,1,0,2,26.24,31.06,53,0,108,365,473
"1272","2011-03-17 19:00:00",1,0,1,1,18.04,21.97,58,12.998,18,189,207
"6883","2012-04-05 02:00:00",2,0,1,1,18.86,22.725,33,30.0026,7,11,18
"9476","2012-09-18 04:00:00",3,0,1,2,25.42,27.275,94,23.9994,2,5,7
"7188","2012-04-17 20:00:00",2,0,1,1,24.6,30.305,23,19.0012,44,358,402
"9078","2012-09-01 14:00:00",3,0,0,2,35.26,39.395,44,11.0014,240,274,514
"4102","2011-10-02 22:00:00",4,0,0,3,14.76,18.18,81,6.0032,9,55,64
"4601","2011-11-04 18:00:00",4,0,1,1,17.22,21.21,32,31.0009,35,339,374
"2035","2011-05-11 16:00:00",2,0,1,1,27.06,31.06,39,0,49,240,289
"3802","2011-09-09 09:00:00",3,0,1,3,25.42,27.275,94,11.0014,5,131,136
"1661","2011-04-15 02:00:00",2,1,0,1,16.4,20.455,76,0,8,10,18
"2291","2011-06-03 08:00:00",2,0,1,2,22.96,26.515,43,22.0028,31,471,502
"5734","2012-01-14 01:00:00",1,0,0,1,6.56,7.575,47,12.998,6,44,50
"9262","2012-09-09 06:00:00",3,0,0,1,21.32,25,77,12.998,11,24,35
"8069","2012-06-16 13:00:00",2,0,0,1,29.52,32.575,34,11.0014,293,324,617
"804","2011-02-16 22:00:00",1,0,1,1,13.94,16.665,53,12.998,12,61,73
"6159","2012-02-12 20:00:00",1,0,0,1,5.74,6.06,42,22.0028,1,56,57
"6294","2012-02-18 11:00:00",1,0,0,1,13.12,16.665,57,8.9981,102,184,286
"10768","2012-12-15 01:00:00",4,0,0,2,10.66,14.395,81,6.0032,9,86,95
"3127","2011-07-19 04:00:00",3,0,1,1,29.52,34.09,70,8.9981,1,4,5
"6489","2012-03-07 14:00:00",1,0,1,1,21.32,25,36,22.0028,38,137,175
"216","2011-01-10 06:00:00",1,0,1,1,4.92,6.06,50,19.0012,0,31,31
"2281","2011-06-02 22:00:00",2,0,1,1,26.24,31.06,33,16.9979,14,141,155
"6554","2012-03-10 07:00:00",1,0,0,1,9.02,10.605,44,16.9979,4,36,40
"2439","2011-06-09 12:00:00",2,0,1,1,37.72,42.425,35,12.998,40,100,140
"8576","2012-07-18 16:00:00",3,0,1,1,30.34,34.85,66,16.9979,34,190,224
"5936","2012-02-03 12:00:00",1,0,1,1,13.94,16.665,46,8.9981,25,191,216
"5286","2011-12-14 07:00:00",4,0,1,1,11.48,15.91,75,0,4,243,247
"8989","2012-08-16 21:00:00",3,0,1,1,30.34,33.335,48,12.998,83,273,356
"8605","2012-07-19 21:00:00",3,0,1,3,27.06,29.545,89,16.9979,38,294,332
"7532","2012-05-13 04:00:00",2,0,0,2,22.14,25.76,68,12.998,2,7,9
"1508","2011-04-08 16:00:00",2,0,1,2,13.12,15.15,93,16.9979,2,58,60
"6776","2012-03-19 14:00:00",1,0,1,2,26.24,31.06,57,12.998,60,200,260
"1301","2011-03-19 01:00:00",1,0,0,2,23.78,27.275,46,23.9994,16,35,51
"8442","2012-07-13 02:00:00",3,0,1,2,27.06,31.06,61,6.0032,2,15,17
"8360","2012-07-09 16:00:00",3,0,1,1,31.98,34.85,40,19.0012,88,325,413
"5457","2012-01-02 11:00:00",1,1,0,1,10.66,10.605,35,32.9975,33,142,175
"5932","2012-02-03 08:00:00",1,0,1,1,9.84,11.365,65,15.0013,12,429,441
"5999","2012-02-06 04:00:00",1,0,1,1,7.38,10.605,80,7.0015,0,2,2
"10275","2012-11-13 12:00:00",4,0,1,1,13.94,15.91,61,19.0012,16,180,196
"1835","2011-05-03 08:00:00",2,0,1,2,22.96,26.515,83,19.0012,24,435,459
"1133","2011-03-11 20:00:00",1,0,1,1,12.3,15.15,56,11.0014,6,70,76
"1841","2011-05-03 14:00:00",2,0,1,2,28.7,32.575,58,35.0008,36,122,158
"3176","2011-08-02 05:00:00",3,0,1,1,27.06,31.06,74,8.9981,4,17,21
"10842","2012-12-18 03:00:00",4,0,1,1,17.22,21.21,88,12.998,0,5,5
"8400","2012-07-11 08:00:00",3,0,1,2,27.88,31.82,79,11.0014,30,644,674
"10147","2012-11-08 04:00:00",4,0,1,2,12.3,14.395,45,19.0012,1,9,10
"6765","2012-03-19 03:00:00",1,0,1,1,18.86,22.725,88,6.0032,0,2,2
"3974","2011-09-16 14:00:00",3,0,1,2,22.14,25.76,45,11.0014,49,176,225
"3615","2011-09-01 12:00:00",3,0,1,2,29.52,33.335,51,8.9981,64,165,229
"4292","2011-10-10 20:00:00",4,1,0,1,24.6,29.545,73,0,37,188,225
"9104","2012-09-02 16:00:00",3,0,0,1,30.34,34.85,70,0,222,252,474
"5845","2012-01-18 17:00:00",1,0,1,1,10.66,10.605,33,30.0026,8,338,346
"7634","2012-05-17 10:00:00",2,0,1,1,22.96,26.515,52,16.9979,43,162,205
"4649","2011-11-06 18:00:00",4,0,0,1,17.22,21.21,71,7.0015,39,146,185
"476","2011-02-02 21:00:00",1,0,1,1,9.02,9.85,47,22.0028,1,62,63
"1879","2011-05-05 04:00:00",2,0,1,1,13.94,15.91,66,16.9979,4,3,7
"2421","2011-06-08 18:00:00",2,0,1,1,36.9,40.91,37,15.0013,61,398,459
"2367","2011-06-06 12:00:00",2,0,1,1,31.16,33.335,37,11.0014,25,128,153
"1067","2011-03-08 23:00:00",1,0,1,1,11.48,13.635,61,12.998,3,38,41
"4068","2011-10-01 12:00:00",4,0,0,2,16.4,20.455,82,16.9979,28,130,158
"9049","2012-08-19 09:00:00",3,0,0,2,27.06,31.06,74,0,86,184,270
"4008","2011-09-18 00:00:00",3,0,0,1,18.86,22.725,77,15.0013,24,88,112
"420","2011-01-19 12:00:00",1,0,1,2,12.3,15.91,81,6.0032,5,65,70
"9623","2012-10-05 07:00:00",4,0,1,1,21.32,25,83,7.0015,11,417,428
"7981","2012-06-12 21:00:00",2,0,1,1,27.88,31.82,83,7.0015,41,233,274
"5208","2011-12-11 01:00:00",4,0,0,1,6.56,7.575,59,15.0013,8,54,62
"7251","2012-05-01 11:00:00",2,0,1,2,27.06,31.06,65,19.0012,50,179,229
"1648","2011-04-14 13:00:00",2,0,1,1,22.96,26.515,37,15.0013,38,121,159
"4141","2011-10-04 13:00:00",4,0,1,1,22.96,26.515,56,19.9995,20,153,173
"5092","2011-12-06 05:00:00",4,0,1,3,18.86,22.725,88,15.0013,0,20,20
